ID,GSM3100217,GSM3100218,GSM3100219,GSM3100220,GSM3100221,GSM3100222,GSM3100223,GSM3100224,GSM3100225,GSM3100226,GSM3100227,GSM3100228,GSM3100229,GSM3100230
ITGB3,-0.06946084,-0.07405382,-0.1036838,0.003123162,-0.06290684,-0.01753034,-0.03785463,0.05863409,-0.001415289,-0.02457849,-0.02793012,-1.09E-05,-0.07832558,-0.02049785
ZDHHC7,0.01233848,-0.02977941,-0.01037368,-0.02843016,0.02362975,0.006068114,-0.02274716,0.024647,0.01193117,-0.1317339,-0.0146212,0.07870707,0.08522487,0.06331487
CHUK,0.007094467,-0.01455255,-0.0103811,-0.02766685,0.002859488,0.03611817,0.06816259,0.01715486,0.04247353,0.03574274,0.03144898,-0.01191033,-0.04553382,-0.03851096
PECAM1,-0.02287033,-0.03945629,-0.01038169,0.04075636,-0.05142207,-0.09836107,-0.0532068,-0.0207866,-0.04201931,-0.04836651,-0.06459613,-0.01370756,0.01657345,0.0406472
DEF6,-0.06946512,-0.07641255,-0.1038499,-0.09170914,-0.09396686,0.02722914,0.02928158,0.04338,0.02938103,0.05434558,-0.05981095,-0.04814753,-0.1803659,-0.1241864
SH3BGRL,-0.09287161,-0.02543935,-0.1038518,-0.09218229,-0.06729503,-0.2266993,-0.09101384,-0.2133389,-0.1080831,-0.1068049,0.01529237,-0.01425246,-0.02059766,-0.02623266
UBA1,-0.04906941,0.0320449,-0.1039643,-0.01581344,-0.03645899,-0.1371006,-0.05196551,-0.1190521,-0.07596112,-0.1072429,-0.02940703,-0.03618587,-0.01542291,-0.08800555
ECHDC1,-0.1134308,-0.02052824,-0.1039869,-0.1048354,-0.09834968,-0.1527105,-0.06387293,-0.1675824,-0.0666092,-0.07875946,0.009708484,-0.07394088,-0.1546906,-0.23239
LOC100129128,-0.136629,-0.06036662,-0.104026,-0.0833161,-0.09010955,-0.09669953,-0.04760565,-0.1655927,-0.04948263,-0.05995722,0.000728558,-0.07954914,-0.08804131,-0.150532
ALDH2,0.01370112,-0.007790853,-0.01041049,0.02651677,0.003632108,0.0831478,0.05046584,0.06735708,0.1038505,0.07666178,-0.04268499,0.03220606,-0.04431286,-0.04295872
C22orf24,-0.0657971,-0.07247017,-0.1041979,-0.01577836,-0.08212443,0.02901302,-0.03382461,0.05690782,0.04736537,0.04179113,-0.04358431,-0.006635183,-0.10001,-0.09246512
ZNF324,-0.02748827,-0.007353726,-0.01043297,-0.02249337,-0.01853492,0.02055333,-0.01490957,0.01939433,0.03596211,-0.001378547,0.01647211,0.03156507,-0.01500508,0.045474
RDX,-0.001390646,-0.06543476,-0.01043582,0.0116092,0.04183901,-0.04434549,-0.02703694,-0.006822751,-0.06529168,-0.008183298,0.08480691,-0.0246756,0.03705943,0.06433779
RAD50,-0.004217307,0.005668798,-0.01043675,0.05627047,0.002448163,0.007022515,0.04488394,-0.006332959,0.01294001,0.03090246,-0.02607371,0.01437863,-0.02778851,-0.02878269
VTCN1,-0.01457801,-0.02093809,-0.01043951,-0.02081263,0.0154623,0.0421488,0.03168424,-0.01957367,0.002749188,0.03660401,0.0087318,-0.04246009,-0.02131228,-0.04327891
PTTG1,-0.1215491,-0.08378891,-0.1043953,-0.1142448,-0.1103011,-0.03885045,-0.03722493,-0.000126296,-0.003270917,-0.007925384,-0.02306493,-0.05188648,-0.1302309,-0.1450403
DIMT1L,-0.08417285,-0.09696355,-0.1044775,-0.3030892,-0.1119344,-0.390657,-0.210666,-0.3449811,-0.2327003,-0.192591,-0.1221301,-0.2641964,-0.3349067,-0.4449191
